Titre,Resume,Date,Url,Website,politique,géopolitique,sociologique,démographie,économie micro,économie macro,science,technologie,innovation,responsabilité,entreprise,Environnement,France,Europe,International,Monde,Industrie,Marque et enseigne,Services,Energie,Construction,Utilities,Mobilité
"Israël-Palestine : l’embrasement, et après ?","L'article ""Israël-Palestine : l'embrasement, et après ?"" du Monde diplomatique de novembre 2023 analyse les récents événements qui ont secoué la région. Alors que les accords de normalisation entre Tel-Aviv et certains pays arabes semblaient apaiser les tensions, l'attaque du Hamas a ravivé les hostilités. Les médias se sont focalisés sur la nature de l'attaque et ont qualifié le Hamas de ""terroriste"". Pendant ce temps, en Israël, la colère monte contre un pouvoir jugé défaillant, tandis que les Palestiniens déplorent de nombreuses pertes. La diplomatie française, alignée sur celle des États-Unis, semble impuissante.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/A/66313,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non
"Le pouvoir de notre assiette. Transition agricole, alimentaire et d’usage des terres : le scénario Afterres","L'article ""Le pouvoir de notre assiette. Transition agricole, alimentaire et d'usage des terres : le scénario Afterres"" présente les menaces que les chaînes mondialisées de production, transformation et distribution alimentaires font peser sur le climat, la biodiversité et l'espèce humaine. L'association Solagro propose une transition vers un modèle agro-alimentaire plus respectueux de l'environnement et de la santé, axé sur une réduction de la consommation de viande, une augmentation de la consommation de poissons plus petits et non raffinés, ainsi que des circuits d'approvisionnement locaux. Les nouvelles recommandations nutritionnelles intègrent également la dimension environnementale.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/PRIOU/66302,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Les trois Corées,"Dans son livre ""Les trois Corées"", Patrick Maurus explore les caractéristiques humaines, géographiques, culturelles et linguistiques des deux Corées, ainsi que de la ""Corée chinoise"" dans la région de Yanbian. Il met également en lumière la diaspora coréenne présente dans le monde entier, comptant environ dix millions de personnes. L'auteur remet en question la vision occidentale selon laquelle la Corée du Sud serait l'Occident de l'Orient et la Corée du Nord l'Orient de l'Orient.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/BERG/66298,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Paix et sécurité. Une anthologie décentrée,"L'ouvrage ""Paix et sécurité. Une anthologie décentrée"", dirigé par Delphine Allès, Sonia Le Gouriellec et Mélissa Levaillant, propose une approche non-occidentale de la paix en explorant différentes cultures telles que la philosophie confucéenne, l'Empire mongol, ou encore la pensée sud-africaine ubuntu. Les contributeurs mettent en valeur l'apport historique de ces peuples souvent négligés. Cet essai collectif, publié par CNRS Éditions, offre une perspective enrichissante sur le sujet. (78 mots)",2023-11-01,https://www.monde-diplomatique.fr/2023/11/MAUREL/66308,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non
Fuego del fuego. Poèmes d’Amérique latine,"Le recueil de poèmes ""Fuego del fuego. Poèmes d'Amérique latine"" rassemble une centaine de poèmes engagés d'auteurs latino-américains, majoritairement originaires d'Amérique centrale, du Mexique et du Chili. Ces poèmes expriment une révolte sociale face aux fantômes de la colonisation, des régimes autoritaires, des conflits armés et du génocide. Le recueil, composé et traduit par Laurent Bouisset, met en lumière la voix des communautés opprimées, notamment celle des Ixils, une communauté maya du Guatemala. Le livre est disponible aux Étaques, Lille, au prix de 20 euros.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/JOUSNI/66279,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Je ne crois qu’en moi. Entretien avec Murielle Joudet,"Dans cet entretien avec Murielle Joudet, la cinéaste Catherine Breillat affirme son égocentrisme et parle de ses luttes pour surmonter le dégoût de son corps, l'incompréhension et le rejet subis par ses films. Malgré un accident vasculaire cérébral qui l'a grandement diminuée, elle se bat avec intelligence pour faire du cinéma et rechercher la vérité et la beauté. Son dernier film, L'Été dernier, est salué comme l'un de ses plus denses et maîtrisés.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/BENALLAL/66273,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Le puzzle amazonien. Positionnements ethniques et mobilisations sociales,"Dans son livre ""Le puzzle amazonien. Positionnements ethniques et mobilisations sociales"", l'anthropologue Véronique Boyer explore les ""repositionnements ethniques"" des populations amazoniennes au Brésil. Alors que la Constitution de 1988 leur accorde des droits spécifiques, ces populations cherchent à améliorer leurs conditions de vie et à échapper à la stigmatisation en se déclarant d'une seule ""racine"" ethnique. L'auteure souligne l'aspect politique de ce choix et interroge les catégories de pensée qui le sous-tendent.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/FERRARINI/66297,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non
La Commune d’Oaxaca. Chroniques et considérations,"L'article ""La Commune d'Oaxaca. Chroniques et considérations"" de Guillaume Beaulande relate la formation de la ""Commune d'Oaxaca"" au Mexique en 2006. Suite à l'intervention violente de la police contre les enseignants en grève, un mouvement populaire s'organise pour destituer le gouverneur corrompu. L'auteur analyse les enjeux et les contradictions de cette insurrection inattendue à travers un journal vivant. L'ouvrage est disponible aux Éditions de l'Éclat pour 9 euros.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/BEAULANDE/66296,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non
,"Le livre ""Sonderkommando. Birkenau 1944 - Thessalonique 1947. Résurgence"" de Marcel Nadjary, publié par Artulis - Signes et balises, est un document exceptionnel. Il contient le témoignage de Marcel Nadjary, un résistant juif déporté à Auschwitz en 1944, qui faisait partie du Sonderkommando chargé des chambres à gaz. Le manuscrit, découvert en 1980 et récemment déchiffré, est accompagné d'un autre témoignage écrit en 1947. Ce livre apporte une contribution essentielle à l'histoire de la Shoah, des communautés juives grecques et de la résistance grecque.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/DERENS/66294,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Le spectre d’un conflit régional,"Selon un article du Wall Street Journal, l'Iran aurait donné son feu vert à l'attaque du Hamas contre Israël. Cependant, le Hezbollah, principal allié de Téhéran dans la région, n'a pas participé à cette offensive. Deux hypothèses sont envisagées : soit l'Iran n'était pas au courant des détails de l'attaque, soit le Hamas a agi de manière autonome, sans consulter ses alliés. Cette situation soulève des questions sur le rôle de l'Iran dans le conflit israélo-palestinien. (78 mots)",2023-11-02,https://www.monde-diplomatique.fr/2023/11/BELKAID/66255,Monde Diplomatique,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Les Filles de l’air, réunion au sommet","Dans cette nouvelle inédite intitulée ""Les Filles de l'air, réunion au sommet"", Margaret Atwood explore les thèmes de la famille, du deuil, du couple, de la mémoire et de l'avenir. Trois vieilles universitaires, réunies dans un comité aux contours nébuleux, réfléchissent à une initiative pour promouvoir la cause des femmes. L'extrait publié met en scène Myrna qui rend visite à Chrissy et se perd dans ses pensées sur son apparence. Cet article est réservé aux abonnés du Monde diplomatique. (79 mots)",2023-11-05,https://www.monde-diplomatique.fr/2023/11/ATWOOD/66281,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Au Pakistan, le retour des bruits de bottes","Au Pakistan, les tensions politiques et sociales s'intensifient, avec une multiplication des attentats visant principalement des lieux de culte. Les dirigeants politiques et militaires cherchent avant tout à consolider leur pouvoir, fragilisé par les partisans de l'ex-premier ministre Imran Khan. Ce dernier a été arrêté et les élections législatives ont été reportées à janvier 2024. Les manifestations et les violences se multiplient dans les grandes villes du pays, avec des attaques directes contre l'armée, symbole du pouvoir militaire.",2023-11-05,https://www.monde-diplomatique.fr/2023/11/GAYER/66283,Monde Diplomatique,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"À Cuba, un big bang monétaire aggrave les difficultés économiques","La crise économique à Cuba s'aggrave avec un big bang monétaire. Les pénuries, les files d'attente devant les magasins, le marché noir des devises et l'inflation des prix sont devenus monnaie courante. Bien que l'embargo américain et la pandémie de Covid-19 soient en partie responsables, la réforme monétaire visant à unifier le peso a empiré la situation. Les Cubains font face à ces difficultés, mais de plus en plus de personnes choisissent de quitter le pays.",2023-11-05,https://www.monde-diplomatique.fr/2023/11/KHIDER/66253,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Riyad - Tel-Aviv, coup de frein à la normalisation","L'article ""Riyad - Tel-Aviv, coup de frein à la normalisation"" publié dans Le Monde diplomatique de novembre 2023 met en lumière les conséquences de la guerre sur les efforts de rapprochement entre l'Arabie saoudite et Israël. Alors que les États-Unis tentaient de favoriser cette normalisation, l'attaque du Hamas a remis en question ces efforts. Cependant, ces tentatives ont renforcé la stature internationale du prince héritier saoudien Mohammed Ben Salman, qui cherche à affirmer l'influence de son pays dans la région et au-delà.",2023-11-05,https://www.monde-diplomatique.fr/2023/11/ABIDI/66242,Monde Diplomatique,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Israël-Palestine, en direct des chaînes d’information en continu","Dans cet article intitulé ""Israël-Palestine, en direct des chaînes d'information en continu"", Clara Menais relate les événements qui ont suivi l'offensive du Hamas contre Israël. Les médias français ont accordé une grande importance à cet événement, saturant l'espace médiatique pendant plus de quarante-cinq heures. Des fausses informations ont également été diffusées, suscitant l'indignation de responsables politiques. Cet article met en lumière les enjeux médiatiques et politiques liés à ce conflit. (79 mots)",2023-11-05,https://www.monde-diplomatique.fr/2023/11/MENAIS/66286,Monde Diplomatique,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Saint Jean-Jacques,"Dans cet article intitulé ""Saint Jean-Jacques (Goldman)"" et écrit par François Bégaudeau pour Le Monde diplomatique de novembre 2023, l'auteur remet en question la place de Jean-Jacques Goldman dans la société. Il critique le livre d'Ivan Jablonka qui présente Goldman comme un ""minoritaire"", et souligne les contradictions et les omissions de cette analyse. Bégaudeau met en lumière les enjeux idéologiques et les préjugés de l'élite culturelle envers la musique populaire.",2023-11-05,https://www.monde-diplomatique.fr/2023/11/BEGAUDEAU/66282,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Nous étions seuls,"Dans son livre ""Nous étions seuls"", Gérard Araud retrace l'histoire diplomatique de la France entre les deux guerres mondiales. Il met en évidence la volonté de l'Allemagne de se réarmer et celle du Royaume-Uni de la laisser agir, laissant la France sans soutien. L'auteur souligne également la germanophilie de Londres, qui conduit Paris à se retrouver souvent seul face à l'Allemagne. Ce récit clair et concis met en lumière les choix stratégiques et les trahisons qui ont marqué cette période.",2023-11-05,https://www.monde-diplomatique.fr/2023/11/HALIMI/66277,Monde Diplomatique,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Les chaînes sans fin. Histoire illustrée du tapis roulant,"Dans son livre ""Les chaînes sans fin. Histoire illustrée du tapis roulant"", Yves Pagès explore les multiples facettes de cet outil banal mais crucial dans l'histoire industrielle. De l'agriculture à la production automobile en passant par les centres commerciaux, le tapis roulant a été utilisé pour soumettre les objets transportés à un flux sans fin, indépendant de toute entrave humaine. Un ouvrage qui offre une vision complète de l'évolution et des usages de cet appareil.",2023-11-05,https://www.monde-diplomatique.fr/2023/11/LEROLLE/66300,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non
Haymarket. Récit des origines du 1er mai,"L'article ""Haymarket. Récit des origines du 1er mai"" par Ernest London raconte l'histoire de l'explosion d'une bombe lors d'un rassemblement à Chicago en mai 1886, qui a conduit à la condamnation de huit hommes et à la célébration de la Journée internationale des travailleurs. L'auteur, Martin Cennevitz, explore le parcours de chacun des hommes et les conséquences de cet événement. Le récit est audacieux et captivant. Le livre est disponible au prix de 12 euros.",2023-11-05,https://www.monde-diplomatique.fr/2023/11/LONDON/66295,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Guerre en Ukraine, L’onde de choc géopolitique","L'article ""Guerre en Ukraine, L'onde de choc géopolitique"" de Hélène Richard dans Le Monde diplomatique de novembre 2023 présente une analyse de l'invasion de l'Ukraine par la Russie. L'auteur met en évidence le rôle des États-Unis et de leurs alliés dans cette situation, tout en soulignant l'opposition de la Pologne à l'élargissement de l'Union européenne en 2003. L'article aborde également les conséquences de cette guerre sur la scène internationale et la réaction de la société ukrainienne.",2023-11-05,https://www.monde-diplomatique.fr/2023/11/RICHARD/66276,Monde Diplomatique,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
L’extermination programmée des communistes indonésiens (1965-1966). Archives inédites,"L'article ""L'extermination programmée des communistes indonésiens (1965-1966). Archives inédites"" de Renaud Lambert révèle que l'armée indonésienne, dirigée par le général Suharto, a massacré près d'un million de civils entre 1965 et 1966. Contrairement à l'histoire officielle, qui prétendait que les militaires répondaient à une tentative de coup d'État du Parti communiste indonésien (PKI), des archives secrètes démontrent que cet événement était en réalité une extermination méthodique. Le PKI, avec ses trois millions et demi d'adhérents, était à l'époque le plus grand parti communiste en dehors de l'URSS et de la Chine.",2023-11-05,https://www.monde-diplomatique.fr/2023/11/LAMBERT/66274,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Montpellier renforce sa place de centre névralgique des tournages de films et de séries,"Montpellier renforce sa position en tant que centre névralgique des tournages de films et de séries. Deux projets de construction ou d'agrandissement de studios de tournage sont en cours dans la banlieue de la métropole languedocienne, ce qui devrait créer plusieurs centaines d'emplois. Les groupes immobiliers locaux GGL et Spag investissent 200 millions d'euros dans la création de Pics Studios, tandis que France Télévisions prévoit d'investir 30 millions d'euros dans l'extension de ses studios de Vendargues. Ces projets s'appuient sur l'écosystème favorable de Montpellier, avec ses lieux de tournage, ses écoles de formation et son soutien politique.",2023-11-05,https://www.lemonde.fr/economie/article/2023/11/05/montpellier-renforce-sa-place-de-centre-nevralgique-des-tournages-de-films-et-de-series_6198368_3234.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Intelligence artificielle au sommet de Londres : PDG et dirigeants face au défi de la régulation,"Le premier sommet international sur les risques de l'intelligence artificielle s'est tenu à Londres, réunissant des PDG et des dirigeants de vingt-huit pays. L'événement a été salué comme un moment historique, avec la présence notable d'Elon Musk. Cependant, il a également mis en évidence les défis de la régulation de l'IA, notamment en ce qui concerne la publication de modèles en open source. Des initiatives telles que la création d'un ""GIEC de l'IA"" ont été discutées, ainsi que la nécessité d'établir des standards d'évaluation. Le premier ministre britannique a également annoncé la création d'un AI Safety Institute pour tester et évaluer les risques des modèles d'IA.",2023-11-02,https://www.lemonde.fr/economie/article/2023/11/02/intelligence-artificielle-au-sommet-de-londres-pdg-et-dirigeants-face-au-defi-de-la-regulation_6197892_3234.html,Le Monde,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Matières premières : le palladium a quitté le podium,"Le palladium, qui était autrefois la matière première la plus précieuse, a perdu sa place sur le podium. Son cours a chuté de près de 40% depuis le début de l'année, en raison notamment de l'essoufflement de l'économie chinoise. De plus, le palladium est en concurrence avec le platine dans l'industrie automobile, ce qui a également affecté sa valeur. Les analystes s'interrogent sur l'avenir du métal face à la montée des véhicules électriques.",2023-11-04,https://www.lemonde.fr/economie/article/2023/11/04/matieres-premieres-le-palladium-a-quitte-le-podium_6198185_3234.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Aucune reconstruction de l'économie ukrainienne ne sera possible à court terme sans l'apport d'investissements privés,"Selon un collectif d'avocats et d'experts en investissement, la reconstruction de l'économie ukrainienne ne pourra se faire à court terme sans l'apport d'investissements privés. Ils soulignent l'importance du mécanisme d'assurance investissement mis en place par Bpifrance Assurance Export, qui permet de couvrir à hauteur de 95% les flux d'investissement français en Ukraine. Ce dispositif, qui couvre les risques politiques, est essentiel pour encourager les entreprises françaises à investir dans le pays. Les besoins de reconstruction de l'Ukraine sont estimés à plus de 500 milliards de dollars.",2023-11-05,https://www.lemonde.fr/idees/article/2023/11/05/aucune-reconstruction-de-l-economie-ukrainienne-ne-sera-possible-a-court-terme-sans-l-apport-d-investissements-prives_6198326_3232.html,Le Monde,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Profil bas pour la France en Afrique,"La France en Afrique fait profil bas, confrontée à un retrait forcé et humiliant de la région du Sahel. Malgré les intentions de renouveau affichées par Emmanuel Macron, la relation franco-africaine reste complexe. Les raisons du ressentiment africain sont multiples, allant du double jeu des dirigeants français à une gestion sécuritaire de la lutte contre le djihadisme. La politique économique et la gouvernance démocratique déçoivent également. La France est désormais condamnée à adopter un profil bas en Afrique.",2023-11-04,https://www.lemonde.fr/idees/article/2023/11/04/profil-bas-pour-la-france-en-afrique_6198197_3232.html,Le Monde,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Myroslav Marynovytch, figure ukrainienne de la dissidence soviétique : 'J'attends des Russes une résistance organisée contre la guerre en Ukraine'","Myroslav Marynovytch, figure de la dissidence soviétique en Ukraine, appelle les Russes à organiser une résistance contre la guerre en Ukraine. Dans une interview accordée au journal Le Monde, il affirme que les relations culturelles avec la Russie pourront reprendre dans dix ou vingt ans, mais pas avant. Il souligne également la nécessité de critiquer le pouvoir politique en Ukraine malgré la situation de guerre. Marynovytch estime que l'élection présidentielle prévue en 2024 ne devrait pas avoir lieu en temps de guerre. Il aborde également la question de l'Église orthodoxe ukrainienne affiliée à Moscou, affirmant que des mesures doivent être prises pour assurer la sécurité nationale. Enfin, il critique l'influence russe sur le système politique ukrainien et dénonce le rôle de Viktor Medvedtchouk, proche de Vladimir Poutine, dans la répression des dissidents.",2023-11-04,https://www.lemonde.fr/international/article/2023/11/04/myroslav-marynovytch-figure-ukrainienne-de-la-dissidence-sovietique-j-attends-des-russes-une-resistance-organisee-contre-la-guerre-en-ukraine_6198092_3210.html,Le Monde,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
